2023-10-01 22:47:35,532.smartsmoker_producer.INFO ==================================================
2023-10-01 22:47:35,532.smartsmoker_producer.INFO Today is 2023-10-01 at 10:47 PM
2023-10-01 22:47:35,533.smartsmoker_producer.INFO Running on: nt Windows 10
2023-10-01 22:47:35,533.smartsmoker_producer.INFO Python version:  3.10.9
2023-10-01 22:48:10,470.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:27,108.2]'....
2023-10-01 22:48:10,479.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:27,No data received from row]'....
2023-10-01 22:48:10,489.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:27,No data received from row]'....
2023-10-01 22:48:12,503.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:28,111.4]'....
2023-10-01 22:48:12,532.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:28,No data received from row]'....
2023-10-01 22:48:12,560.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:28,No data received from row]'....
2023-10-01 22:48:14,591.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:28,111.4]'....
2023-10-01 22:48:14,609.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:28,No data received from row]'....
2023-10-01 22:48:14,638.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:28,No data received from row]'....
2023-10-01 22:48:16,671.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:29,114.2]'....
2023-10-01 22:48:16,700.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:29,No data received from row]'....
2023-10-01 22:48:16,731.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:29,No data received from row]'....
2023-10-01 22:48:18,758.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:29,114.2]'....
2023-10-01 22:48:18,789.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:29,No data received from row]'....
2023-10-01 22:48:18,820.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:29,No data received from row]'....
2023-10-01 22:48:20,865.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:30,116.9]'....
2023-10-01 22:48:20,899.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:30,No data received from row]'....
2023-10-01 22:48:20,922.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:30,No data received from row]'....
2023-10-01 22:48:22,948.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:30,116.9]'....
2023-10-01 22:48:22,978.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:30,No data received from row]'....
2023-10-01 22:48:22,998.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:30,No data received from row]'....
2023-10-01 22:48:25,022.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:31,119.4]'....
2023-10-01 22:48:25,053.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:31,No data received from row]'....
2023-10-01 22:48:25,082.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:31,No data received from row]'....
2023-10-01 22:48:27,103.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:31,119.4]'....
2023-10-01 22:48:27,136.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:31,No data received from row]'....
2023-10-01 22:48:27,161.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:31,No data received from row]'....
2023-10-01 22:48:29,190.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:32,120.1]'....
2023-10-01 22:48:29,199.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:32,No data received from row]'....
2023-10-01 22:48:29,208.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:32,No data received from row]'....
2023-10-01 22:48:31,226.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:32,120.1]'....
2023-10-01 22:48:31,256.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:32,No data received from row]'....
2023-10-01 22:48:31,273.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:32,No data received from row]'....
2023-10-01 22:48:33,305.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:33,106.2]'....
2023-10-01 22:48:33,335.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:33,No data received from row]'....
2023-10-01 22:48:33,360.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:33,No data received from row]'....
2023-10-01 22:48:35,382.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:33,106.2]'....
2023-10-01 22:48:35,404.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:33,No data received from row]'....
2023-10-01 22:48:35,432.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:33,No data received from row]'....
2023-10-01 22:48:37,457.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:34,103.5]'....
2023-10-01 22:48:37,490.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:34,No data received from row]'....
2023-10-01 22:48:37,515.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:34,No data received from row]'....
2023-10-01 22:48:39,537.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:34,103.5]'....
2023-10-01 22:48:39,568.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:34,No data received from row]'....
2023-10-01 22:48:39,590.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:34,No data received from row]'....
2023-10-01 22:48:41,616.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:35,105.3]'....
2023-10-01 22:48:41,649.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:35,No data received from row]'....
2023-10-01 22:48:41,676.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:35,No data received from row]'....
2023-10-01 22:48:43,700.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:35,105.3]'....
2023-10-01 22:48:43,731.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:35,No data received from row]'....
2023-10-01 22:48:43,754.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:35,No data received from row]'....
2023-10-01 22:48:45,789.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:36,106.9]'....
2023-10-01 22:48:45,800.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:36,No data received from row]'....
2023-10-01 22:48:45,810.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:36,No data received from row]'....
2023-10-01 22:48:47,823.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:36,106.9]'....
2023-10-01 22:48:47,834.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:36,No data received from row]'....
2023-10-01 22:48:47,844.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:36,No data received from row]'....
2023-10-01 22:48:49,859.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:37,111.9]'....
2023-10-01 22:48:49,869.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:37,No data received from row]'....
2023-10-01 22:48:49,879.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:37,No data received from row]'....
2023-10-01 22:48:51,898.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:37,111.9]'....
2023-10-01 22:48:51,934.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:37,No data received from row]'....
2023-10-01 22:48:51,963.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:37,No data received from row]'....
2023-10-01 22:48:53,991.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:38,114.2]'....
2023-10-01 22:48:54,024.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:38,No data received from row]'....
2023-10-01 22:48:54,049.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:38,No data received from row]'....
2023-10-01 22:48:56,074.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:38,114.2]'....
2023-10-01 22:48:56,082.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:38,No data received from row]'....
2023-10-01 22:48:56,092.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:38,No data received from row]'....
2023-10-01 22:48:58,112.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:39,115.5]'....
